system:index,season,tmean_C,year,.geo,baseline_mean,temp_anomaly_C
1_0,Gu,25.156525459190753,2000,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.6257049822266794
1_1,Gu,25.786574645595984,2001,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.004344204178551081
1_2,Gu,26.213085123747938,2002,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.43085468233050506
1_3,Gu,26.508400757603308,2003,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.7261703161858755
1_4,Gu,25.842040248154447,2004,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.059809806737014526
1_5,Gu,25.663098820286677,2005,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.11913162113075515
1_6,Gu,25.665899258719858,2006,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.11633118269757503
1_7,Gu,25.956154357352343,2007,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.1739239159349104
1_8,Gu,25.221589930669253,2008,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.5606405107481791
1_9,Gu,26.005404603787884,2009,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.2231741623704515
1_10,Gu,25.585761650483324,2010,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.19646879093410874
1_11,Gu,25.185364198999014,2011,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.5968662424184181
1_12,Gu,24.87436286808391,2012,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.9078675733335224
1_13,Gu,26.249581356060517,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.46735091464308454
1_14,Gu,25.87916669515111,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.09693625373367709
1_15,Gu,26.08956762114251,2015,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.3073371797250779
1_16,Gu,26.379136135798745,2016,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.5969056943813129
1_17,Gu,26.0547205144526,2017,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.2724900730351685
1_18,Gu,25.130051267271632,2018,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.6521791741458003
1_19,Gu,26.31969695988423,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.5374665184667968
1_20,Gu,25.9238632802394,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.1416328388219661
1_21,Gu,25.435043643624745,2021,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,-0.3471867977926877
1_22,Gu,26.64438479693802,2022,"{""type"":""MultiPoint"",""coordinates"":[]}",25.782230441417433,0.8621543555205875
